,Emotion,Text,Clean_Text
0,neutral,Why ?,
1,happy,Sage Act upgrade on my to do list for tommorow.,Sage Act upgrade list tommorow
2,sad,ON THE WAY TO MY HOMEGIRL BABY FUNERAL!!! MAN I HATE FUNERALS THIS REALLY SHOWS ME HOW BLESSED I AM,WAY HOMEGIRL BABY FUNERAL MAN HATE FUNERALS SHOWS BLESSED
3,happy,"Such an eye ! The true hazel eye-and so brilliant ! Regular features , open countenance , with a complexion , Oh ! What a bloom of full health , and such a pretty height and size ; such a firm and upright figure ! There is health , not merely in her bloom , but in her air , her head , her glance . One hears sometimes of a child being ' the picture of health ' ; now , she always gives me the idea of being the complete picture of grown-up health . She is loveliness itself .",eye true hazel eyeand brilliant Regular features open countenance complexion Oh bloom health pretty height size firm upright figure health merely bloom air head glance hears child picture health gives idea complete picture grownup health loveliness
4,happy,"@Iluvmiasantos ugh babe.. hugggzzz for u .! babe naamazed nga ako e babe e, despite nega's mas pinaramdam at fil ko ang",ugh babe hugggzzz u babe naamazed nga ako e babe e despite negas mas pinaramdam fil ko ang
5,sad,I'm expecting an extremely important phonecall any minute now #terror #opportunity,Im expecting extremely important phonecall minute #terror #opportunity
6,sad,".Couldnt wait to see them live. If missing them in NH7 wasnt painful enuf, Suraj 's performing his last gig in delhi.",Couldnt wait live missing NH7 wasnt painful enuf Suraj s performing gig delhi
7,neutral,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten. Nu dus. #derestkomtlaterwel,maken Tip 2: Stop op een moment dat je het hele project wel ziet zitten Nu dus #derestkomtlaterwel
8,neutral,En dan krijg je ff een cadeautje van een tweep #melike,En dan krijg je ff een cadeautje van een tweep #melike
9,neutral,"@1116am Drummer Boy bij op verzoek van @BiemOosterhof . @frankcornet : welke uitvoering, van wie?",Drummer Boy bij op verzoek van : welke uitvoering van wie
10,sad,"The bull tossed the effigy out of their hands and became very infuriated . """,bull tossed effigy hands infuriated
11,sad,People hide their behind a #fake smile.,People hide #fake smile
12,happy,"For once in his life , Leopold must have been truly happy : his hopes and prayers for his beloved son seemed at last to have come to fruition .",life Leopold truly happy : hopes prayers beloved son come fruition
13,sad,Against the assault of laughter nothing can stand. ~ Mark Twain #emotionalcourage,assault laughter stand ~ Mark Twain #emotionalcourage
14,sad,"With everything , with everybody , with all this !",everybody
15,sad,"Shakuhachi dress $580, 10-22 mm lens $708 #pain :(",Shakuhachi dress $580 1022 mm lens $708 #pain :(
16,neutral,"Haha of course I come home to a different house, leave it to my parents to redo the entire downstairs without warning",Haha course come home different house leave parents redo entire downstairs warning
17,happy,I have a feeling i will fail french #fuckfrench,feeling fail french #fuckfrench
18,happy,Good.Let ' s go now .,GoodLet
19,neutral,"@JuliaLeader I reeeeeellllyyyyyyy need to tell you something, but guess what. My go phone is fucked up. #gotohellmexicanphone",reeeeeellllyyyyyyy need tell something guess what phone fucked up #gotohellmexicanphone
20,sad,"Oh , that's too bad . Should I call a doctor ?",Oh thats bad doctor
21,happy,"When I fell in love with \X\"". Overnight I felt confidence, self-esteem, responsible and worthwhile.""",fell love \X\ Overnight felt confidence selfesteem responsible worthwhile
22,sad,"is a primitive #Instinct that's your friend.It warns you to pay attention when ur in danger,it tells you to do or act to save yourself",primitive #Instinct thats friendIt warns pay attention ur dangerit tells act save
23,sad,I have to talk to you !,talk
24,sad,I was riding with a friend in his car. At a speed of 120 km/h on the snow-covered motorway I would have liked to get out.,riding friend car speed 120 km/h snowcovered motorway liked out
25,sad,you're so welcome @madelineerich8! so glad I could make your night! love you. please don't leave me :( i'm gonna miss you so much!,welcome glad night love you leave :( im gonna miss much
26,neutral,another ending? i almost pooped my pants at the end of last weeks crazy ending! #dEcodEd,ending pooped pants end weeks crazy ending #dEcodEd
27,happy,One could get terribly ecstatic but that would be a dangerous thing to do .,terribly ecstatic dangerous thing
28,sad,So much for losing something.. Going to fat burger for dinner with dad,losing something Going fat burger dinner dad
29,happy,When I was selected to study here at university.,selected study university
30,happy,"Yeah , it ’ s been ages ! So how have you been ?",Yeah ’ ages
31,sad,is a friend that you misunderstood but I know the #heartoflife is good..,friend misunderstood know #heartoflife good
32,sad,@nicolescherzy @nicosherzinger & &#xA;&#xA;Add those three things up and you have a symptom called #NERVOSO &#xA;&#xA;u wanna learn [:,#xA#xAAdd things symptom called #NERVOSO #xA#xAu wanna learn [:
33,neutral,"Nobody doubted him , or failed to recognise his temporary financial embarrassment .",doubted failed recognise temporary financial embarrassment
34,sad,The bank had made no secret of their dismay over Virgin 's venture into airlines .,bank secret dismay Virgin s venture airlines
35,happy,When I passed the B.A exams with first class results.,passed BA exams class results
36,sad,homies all go to ride ponies... I look at them like a sad puppy #wanttoride #ankleneedstoheal,homies ride ponies look like sad puppy #wanttoride #ankleneedstoheal
37,neutral,pop out &amp; roll across the floor !,pop amp roll floor
38,sad,OMG its December 5th and the windows are open at my house. Mr. Winter where are you. Jack frost is missing too.,OMG December 5th windows open house Mr Winter you Jack frost missing too
39,neutral,alleen nog even morgen cadootjes kopen in stadje en dan helemaal klaar,alleen nog morgen cadootjes kopen stadje en dan helemaal klaar
40,neutral,"I'm not from this planet, I'm from one of the other planets that hold life &amp; are just being discovered.",Im planet Im planets hold life amp discovered
41,sad,"When you kill yourself with work and see the number of slakers wandering around, doing nothing.",kill work number slakers wandering around nothing
